,suburb,sold_year,sold_month,count,avg_bedroom,avg_bathroom,avg_car_space,avg_land_size,avg_building_size,avg_built_year,avg_price,perth,east_perth,west_perth,northbridge,crawley,nedlands
113,Nedlands,2018,12,9,3.3333333333333335,2.0,1.3333333333333333,737.7777777777778,225.55555555555554,1958.3333333333333,1854555.5555555555,0,0,0,0,0,1
114,Nedlands,2019,1,1,4.0,2.0,2.0,503.0,239.0,2009.0,1630000.0,0,0,0,0,0,1
115,Nedlands,2019,2,2,2.5,1.5,1.5,312.5,94.5,1965.5,762500.0,0,0,0,0,0,1
116,Nedlands,2019,3,9,3.4444444444444446,1.7777777777777777,2.5555555555555554,635.7777777777778,182.33333333333334,1954.0,1265555.5555555555,0,0,0,0,0,1
117,Nedlands,2019,4,4,3.75,2.0,2.5,540.25,211.75,1991.5,1243750.0,0,0,0,0,0,1
118,Nedlands,2019,5,4,2.75,1.75,1.75,541.0,144.5,1975.25,993000.0,0,0,0,0,0,1
119,Nedlands,2019,6,6,3.5,2.1666666666666665,2.1666666666666665,715.1666666666666,200.83333333333334,1975.8333333333333,1398333.3333333333,0,0,0,0,0,1
120,Nedlands,2019,7,7,3.0,1.8571428571428572,2.5714285714285716,527.8571428571429,170.14285714285714,1970.857142857143,1163857.142857143,0,0,0,0,0,1
121,Nedlands,2019,8,5,3.4,2.2,2.2,667.4,197.0,1965.4,1499000.0,0,0,0,0,0,1
122,Nedlands,2019,9,3,2.6666666666666665,1.6666666666666667,1.6666666666666667,406.3333333333333,169.0,1984.3333333333333,960000.0,0,0,0,0,0,1
123,Nedlands,2019,10,4,4.25,4.0,3.5,1051.25,469.0,1991.75,2823750.0,0,0,0,0,0,1
124,Nedlands,2019,11,5,2.8,1.8,2.2,231.2,144.2,1982.6,810000.0,0,0,0,0,0,1
125,Nedlands,2019,12,5,4.2,3.0,2.4,852.4,290.2,1959.8,2163000.0,0,0,0,0,0,1
126,Nedlands,2020,1,9,3.888888888888889,2.2222222222222223,1.8888888888888888,813.5555555555555,207.55555555555554,1945.888888888889,1682227.7777777778,0,0,0,0,0,1
127,Nedlands,2020,2,10,3.3,1.7,2.6,691.9,198.6,1955.9,1599000.0,0,0,0,0,0,1
128,Nedlands,2020,3,4,3.75,2.25,2.0,774.25,250.5,1989.75,1716250.0,0,0,0,0,0,1
129,Nedlands,2020,4,6,3.8333333333333335,2.8333333333333335,1.8333333333333333,739.8333333333334,252.5,1974.3333333333333,2120833.3333333335,0,0,0,0,0,1
130,Nedlands,2020,5,5,3.0,1.6,2.4,587.4,183.4,1973.8,1433000.0,0,0,0,0,0,1
131,Nedlands,2020,6,5,4.0,2.6,2.6,833.4,274.4,1998.4,1802500.0,0,0,0,0,0,1
132,Nedlands,2020,7,4,3.75,2.5,2.0,593.5,197.25,1966.0,1611250.0,0,0,0,0,0,1
133,Nedlands,2020,8,4,3.25,1.75,2.25,587.0,144.25,1950.5,1102500.0,0,0,0,0,0,1
134,Nedlands,2020,9,2,2.5,1.0,1.5,504.5,135.5,1957.5,1075000.0,0,0,0,0,0,1
135,Nedlands,2020,10,7,2.7142857142857144,1.8571428571428572,1.8571428571428572,582.7142857142857,165.71428571428572,1968.857142857143,1298285.7142857143,0,0,0,0,0,1
136,Nedlands,2020,11,12,3.25,1.8333333333333333,1.8333333333333333,586.8333333333334,147.33333333333334,1965.3333333333333,1385333.3333333333,0,0,0,0,0,1
137,Nedlands,2020,12,5,3.4,2.0,1.8,676.2,183.8,1970.0,1629000.0,0,0,0,0,0,1
138,Nedlands,2021,1,3,4.0,2.0,2.6666666666666665,795.0,274.6666666666667,1966.3333333333333,2150000.0,0,0,0,0,0,1
139,Nedlands,2021,2,2,4.5,2.5,2.0,960.0,299.5,1932.0,2354444.0,0,0,0,0,0,1
140,Nedlands,2021,3,7,3.2857142857142856,1.7142857142857142,1.4285714285714286,534.5714285714286,179.71428571428572,1953.857142857143,1283000.0,0,0,0,0,0,1
141,Nedlands,2021,4,7,3.5714285714285716,1.8571428571428572,1.5714285714285714,498.57142857142856,171.14285714285714,1959.857142857143,1406428.5714285714,0,0,0,0,0,1
142,Nedlands,2021,5,4,2.75,1.5,1.5,449.25,140.75,1948.5,1356750.0,0,0,0,0,0,1
143,Nedlands,2021,6,4,3.0,1.75,3.25,486.75,168.25,1964.5,1412500.0,0,0,0,0,0,1
144,Nedlands,2021,7,3,3.3333333333333335,2.0,0.6666666666666666,664.3333333333334,184.0,1950.6666666666667,1634666.6666666667,0,0,0,0,0,1
145,Northbridge,2013,6,2,2.5,2.0,1.0,128.0,94.5,2006.0,575000.0,0,0,0,1,0,0
146,Northbridge,2013,7,3,2.6666666666666665,2.0,1.3333333333333333,159.0,117.66666666666667,2006.3333333333333,624666.3333333334,0,0,0,1,0,0
147,Northbridge,2013,8,2,2.0,2.0,1.0,97.5,70.0,2009.0,518750.0,0,0,0,1,0,0
148,Northbridge,2013,9,3,2.3333333333333335,1.6666666666666667,1.6666666666666667,145.33333333333334,124.0,2008.0,701666.6666666666,0,0,0,1,0,0
149,Northbridge,2013,10,4,2.5,1.5,1.5,139.75,93.0,2004.25,580000.0,0,0,0,1,0,0
150,Northbridge,2013,11,5,1.8,1.8,1.0,95.6,68.0,2010.4,553500.0,0,0,0,1,0,0
151,Northbridge,2013,12,1,3.0,2.0,2.0,196.0,121.0,1995.0,785000.0,0,0,0,1,0,0
152,Northbridge,2014,1,3,2.0,1.6666666666666667,1.0,109.0,81.66666666666667,2009.3333333333333,510000.0,0,0,0,1,0,0
153,Northbridge,2014,2,9,1.8888888888888888,1.3333333333333333,1.0,146.0,103.22222222222223,1975.888888888889,633777.7777777778,0,0,0,1,0,0
154,Northbridge,2014,3,4,2.25,2.0,1.5,261.25,132.75,2004.0,743000.0,0,0,0,1,0,0
155,Northbridge,2014,4,4,2.75,2.0,1.75,340.0,134.5,1983.5,1090625.0,0,0,0,1,0,0
156,Northbridge,2014,5,1,2.0,2.0,1.0,116.0,90.0,2003.0,516000.0,0,0,0,1,0,0
157,Northbridge,2014,6,1,1.0,1.0,2.0,94.0,59.0,1995.0,429000.0,0,0,0,1,0,0
158,Northbridge,2014,7,5,2.0,1.8,1.0,117.0,90.8,2003.0,542200.0,0,0,0,1,0,0
159,Northbridge,2014,8,1,2.0,2.0,1.0,115.0,87.0,1996.0,585000.0,0,0,0,1,0,0
160,Northbridge,2014,9,1,1.0,1.0,1.0,87.0,57.0,2009.0,425000.0,0,0,0,1,0,0
161,Northbridge,2014,10,2,2.5,1.5,1.5,136.5,103.0,2003.0,555000.0,0,0,0,1,0,0
162,Northbridge,2014,11,10,1.4,1.4,1.1,92.8,60.0,2015.2,486400.0,0,0,0,1,0,0
163,Northbridge,2014,12,1,2.0,1.0,1.0,88.0,68.0,1996.0,420000.0,0,0,0,1,0,0
164,Northbridge,2015,1,4,2.0,1.75,1.25,126.25,80.75,2011.5,579125.0,0,0,0,1,0,0
165,Northbridge,2015,2,4,1.75,1.5,1.0,111.0,80.0,2006.75,501750.0,0,0,0,1,0,0
166,Northbridge,2015,4,3,1.6666666666666667,1.6666666666666667,1.3333333333333333,106.33333333333333,67.0,2016.0,534166.6666666666,0,0,0,1,0,0
167,Northbridge,2015,5,3,2.6666666666666665,2.0,1.3333333333333333,170.33333333333334,142.66666666666666,1977.0,685666.6666666666,0,0,0,1,0,0
168,Northbridge,2015,6,5,1.8,1.4,1.2,116.0,77.0,2005.8,523700.0,0,0,0,1,0,0
169,Northbridge,2015,7,3,1.3333333333333333,2.0,1.0,113.0,84.0,2007.0,511666.6666666667,0,0,0,1,0,0
170,Northbridge,2015,8,3,2.3333333333333335,1.6666666666666667,1.0,136.66666666666666,94.66666666666667,2003.3333333333333,482333.3333333333,0,0,0,1,0,0
171,Northbridge,2015,9,2,1.5,1.5,1.0,107.0,69.5,2010.5,462500.0,0,0,0,1,0,0
172,Northbridge,2015,10,3,2.0,1.6666666666666667,1.3333333333333333,128.0,81.0,2003.6666666666667,488000.0,0,0,0,1,0,0
173,Northbridge,2015,11,3,2.0,1.6666666666666667,1.0,107.33333333333333,81.0,2002.6666666666667,466000.0,0,0,0,1,0,0
174,Northbridge,2015,12,3,1.6666666666666667,1.6666666666666667,1.0,103.0,71.33333333333333,2006.6666666666667,441666.6666666667,0,0,0,1,0,0
175,Northbridge,2016,1,3,2.0,2.0,1.0,130.33333333333334,96.33333333333333,2004.6666666666667,452603.3333333333,0,0,0,1,0,0
176,Northbridge,2016,2,3,2.3333333333333335,2.3333333333333335,1.3333333333333333,142.0,168.0,2009.3333333333333,713333.3333333334,0,0,0,1,0,0
177,Northbridge,2016,3,3,1.6666666666666667,1.6666666666666667,1.3333333333333333,116.0,75.33333333333333,2010.0,488000.0,0,0,0,1,0,0
178,Northbridge,2016,5,3,2.0,2.0,1.0,261.3333333333333,230.66666666666666,2016.0,555125.0,0,0,0,1,0,0
179,Northbridge,2016,6,1,2.0,2.0,1.0,99.0,72.0,2009.0,410000.0,0,0,0,1,0,0
180,Northbridge,2016,7,2,2.0,2.0,1.0,124.5,82.5,2010.5,501250.0,0,0,0,1,0,0
181,Northbridge,2016,8,2,2.0,2.0,1.0,112.5,43.0,2012.5,487500.0,0,0,0,1,0,0
182,Northbridge,2016,9,6,2.0,1.5,1.1666666666666667,109.16666666666667,64.5,2003.6666666666667,433000.0,0,0,0,1,0,0
183,Northbridge,2016,10,1,1.0,2.0,1.0,97.0,70.0,2009.0,375000.0,0,0,0,1,0,0
184,Northbridge,2016,11,3,2.0,1.6666666666666667,1.6666666666666667,168.33333333333334,87.66666666666667,2005.6666666666667,491666.6666666667,0,0,0,1,0,0
185,Northbridge,2016,12,3,2.0,1.6666666666666667,1.0,107.66666666666667,69.66666666666667,2007.0,433333.3333333333,0,0,0,1,0,0
186,Northbridge,2017,1,4,1.75,1.75,1.0,111.75,75.5,2008.75,413750.0,0,0,0,1,0,0
187,Northbridge,2017,2,4,1.75,1.5,1.0,103.25,72.0,2011.25,446750.0,0,0,0,1,0,0
188,Northbridge,2017,3,6,1.8333333333333333,1.8333333333333333,1.0,106.66666666666667,76.16666666666667,2012.3333333333333,762083.3333333334,0,0,0,1,0,0
189,Northbridge,2017,4,3,1.6666666666666667,1.3333333333333333,1.0,92.0,67.33333333333333,2007.0,395000.0,0,0,0,1,0,0
190,Northbridge,2017,5,3,2.3333333333333335,1.6666666666666667,1.3333333333333333,125.0,91.66666666666667,2006.3333333333333,485333.3333333333,0,0,0,1,0,0
191,Northbridge,2017,6,2,3.0,2.0,1.0,150.0,107.0,2001.0,609500.0,0,0,0,1,0,0
