,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,Building size,rent,rent date
261,35 Windsor Street,"$1,350,000",Jan 2020,House,4,1,3,"1,114",,179,,
262,33/375 Hay Street,"$370,000",Jan 2020,,,,,110,,73,$480pw,Apr 2016
263,48B Bulwer Street,"$850,000",Dec 2019,Townhouse,3,2,2,311,,,,
264,13/154 Newcastle Street,"$189,000",Dec 2019,Apartment,1,1,1,83,,,,
265,10B/811 Hay Street,"$255,000",Dec 2019,Apartment,1,1,,,,,$300pw,Mar 2019
266,807/12 Victoria Avenue,"$180,000",Dec 2019,Apartment,1,1,,,,,,
267,58/369 Hay Street,"$499,000",Dec 2019,Apartment,3,2,2,"4,726",,90,$610pw,Dec 2017
268,108/126 Mounts Bay Road,"$220,000",Dec 2019,Apartment,1,1,,,,,,
269,15/34 Palmerston Street,"$645,000",Dec 2019,Townhouse,2,2,1,135,,127,,
270,64/128 Mounts Bay Road,"$720,000",Dec 2019,Apartment,,,,152,,,,
271,14/34 PALMERSTON Street,"$630,000",Dec 2019,Apartment,2,2,1,110,,,,
272,40/154 Newcastle Street,"$400,000",Dec 2019,Apartment,2,2,1,"4,864",,76,$600pw,Aug 2013
