,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
183,15/38 Kings Park Road,"$330,000",Nov 2019,$320pw,Jun 2018,,,,,"4,911",75,
184,73/48 Mount Street,"$445,000",Oct 2019,$400pw,Sep 2020,Apartment,2,1,1,105,68,
185,6/24 Cliff Street,"$1,075,000",Oct 2019,"$1,400pw",Jul 2011,Apartment,3,2,3,169,158,William Porteous Properties International Pty Ltd 
186,127 Carr Street,"$678,000",Oct 2019,,,House,2,1,,216,108,
187,35 Carr Street,"$500,000",Oct 2019,$350pw,Nov 2019,House,2,1,3,225,,Marie du Puy
188,7/111 Colin Street,"$505,000",Oct 2019,,,Apartment,2,2,1,122,82,Mack Hall Real Estate - Claremont
189,28/36 Kings Park Road,"$510,000",Oct 2019,$550pw,Mar 2015,Apartment,2,2,1,128,84,
190,50/147 Charles Street,"$171,000",Sep 2019,,,,,,,"6,268",,
191,32/9 Delhi Street,"$510,000",Sep 2019,$700pw,Apr 2015,Apartment,3,2,2,154,98,Mack Hall Real Estate - Claremont
192,18/66 Cleaver Street,"$171,000",Sep 2019,$225pw,Dec 2016,Apartment,1,1,1,"3,422",,Edison Property Residential
193,25/1331 Hay Street,"$650,000",Sep 2019,$800pw,Aug 2012,Apartment,2,2,2,746,102,
194,E1/161 Colin Street,"$510,000",Sep 2019,$470pw,Sep 2019,Apartment,2,2,1,,,The Property Exchange - Subiaco
195,809/659 Murray Street,"$375,000",Sep 2019,,,Apartment,1,1,1,,,Realestate 88 East Perth - EAST PERTH
196,2/32 Outram Street,"$315,000",Sep 2019,,,,,,,675,67,
197,69/34 Kings Park Road,"$700,000",Sep 2019,,,Apartment,3,2,2,"1,012",,Airey Real Estate
198,70/141 Fitzgerald Street,"$370,000",Sep 2019,$380pw,Mar 2018,Apartment,3,2,1,,,Mack Hall Real Estate - Claremont
199,25/875 Wellington Street,"$120,000",Sep 2019,,,,,,,,,
200,70 Carr Street,"$660,000",Sep 2019,,,House,3,1,3,384,,
201,8/146 Carr Street,"$305,000",Aug 2019,$350pw,Mar 2019,,,,,"1,577",83,Xceed Coastal - North
202,31/16 Kings Park Road,"$560,000",Aug 2019,,,Apartment,3,2,2,,,Peard Real Estate
203,511/659 Murray Street,"$535,000",Aug 2019,,,Apartment,2,2,1,143,126,Real Estate 88
204,1008/659 Murray Street,"$500,000",Aug 2019,$490pw,Sep 2019,Apartment,2,2,1,90,,Peter Wright
205,1603/659 Murray Street,"$405,000",Jul 2019,,,Apartment,1,1,1,68,50,Realestate 88 East Perth - EAST PERTH
206,5/37 Cleaver Street,"$470,000",Jul 2019,$470pw,Nov 2019,Townhouse,3,1,1,187,120,Avenue One Property Group - Perth
