,address,price,sold date,type,bedrooms,bathrooms,car space,agent,rent,rent date,Land size,Building size
173,2/26 Cook Street,"$570,000",Sep 2015,,,,,Rossen Real Estate - Nedlands,$495pw,Dec 2016,683,114
174,147 Fairway,"$2,575,000",Sep 2015,,,,,LJ Hooker - Claremont,,,844,
175,8/3 Park Avenue,"$1,100,000",Sep 2015,,,,,,,,175,175
176,40 Broadway,"$2,458,000",Sep 2015,House,8,4,,Anderson Davies Real Estate - Dalkeith,$475pw,Jun 2017,792,
177,4/159 Fairway,"$345,000",Aug 2015,,,,,ABODE REAL ESTATE - COTTESLOE,,,"1,608",
178,1/1 Wingfield Avenue,"$950,000",Aug 2015,,,,,,,,221,95
179,2/112 Broadway,"$400,000",Aug 2015,,,,,,$285pw,Feb 2017,883,
180,5/126 Broadway,"$170,498",Aug 2015,,,,,,,,882,
181,4/126 Broadway,"$220,000",Aug 2015,,,,,,,,882,
182,5/44 Broadway,"$565,000",Aug 2015,Apartment,2,1,1,Realmark Western Suburbs - NEDLANDS,$450pw,Dec 2017,124,77
183,51/1 Wingfield Avenue,"$950,000",Aug 2015,Apartment,4,2,2,Marron Real Estate - Nedlands,$500pw,Aug 2011,220,190
184,23/3 Park Avenue,"$1,600,000",Jul 2015,,,,,,,,175,175
185,10/3 Park Avenue,"$1,165,000",Jul 2015,,,,,,,,175,175
186,4/9 The Avenue,"$790,000",Jun 2015,Apartment,3,1,1,Acton - Dalkeith,$600pw,Jun 2012,"1,012",120
187,5/9 Wingfield Avenue,"$1,080,000",Jun 2015,House,3,,,,,,138,
188,29/5 Park Avenue,"$750,000",May 2015,Apartment,3,2,2,Rossen Real Estate - Nedlands,$700pw,May 2013,"4,918",145
189,29/5-7 PARK Avenue,"$750,000",May 2015,Apartment,3,1,1,,$700pw,May 2013,145,
190,1/16A Princess Road,"$550,000",May 2015,,,,,,,,170,
191,16a Princess Road,"$550,000",May 2015,,,,,Abel McGrath Property Group - Claremont,$390pw,Apr 2017,148,68
192,27/3 Park Avenue,"$1,375,000",May 2015,,,,,,,,175,175
193,10/10 Kings Park Avenue,"$1,750,000",May 2015,Apartment,3,3,2,ZSA ZSA Property - PERTH,"$1,600pw",Jun 2012,274,187
194,16/168 Broadway,"$405,000",May 2015,Apartment,1,1,,Burgess Rawson Residential - Perth,,,"1,412",51
195,8/131 Fairway,"$775,500",Apr 2015,Townhouse,3,2,2,Scott BJ Properties - Perth,$700pw,Apr 2021,"1,882",130
196,1/1 Park Avenue,"$950,000",Apr 2015,,,,,,,,"1,001",144
197,1/2 Wingfield Avenue,"$1,600,000",Apr 2015,Apartment,3,2,2,Acton - Dalkeith,"$1,100pw",Nov 2013,280,140
198,1/22 The Avenue,"$2,110,000",Apr 2015,Apartment,3,2,2,Acton - Dalkeith,$950pw,Apr 2018,"4,524",163
199,32 Everett Street,"$1,230,000",Apr 2015,House,2,1,1,Anderson Davies Real Estate - Dalkeith,$650pw,Jan 2013,683,
200,8/22 Mounts Bay Road,"$2,800,000",Apr 2015,,,,,,"$1,600pw",May 2013,304,218
201,1/22 KINGS PARK AVENUE,"$2,400,000",Mar 2015,House,3,2,3,TM Residential - Dalkeith,"$1,900pw",Apr 2014,320,368
202,3/14 Cook Street,"$795,000",28 Mar 2015(Auction),Townhouse,3,2,2,Acton North - CITY BEACH,,,"1,366",120
203,12/4 Crawley Avenue,"$570,000",Mar 2015,Apartment,1,1,1,,$460pw,Nov 2018,83,85
204,301/173 Mounts Bay Road,"$5,500,000",Mar 2015,Apartment,3,3,4,William Porteous Properties International Pty Ltd,"$3,500pw",Feb 2015,,452
205,21E/14 Kings Park Avenue,"$1,050,000",Mar 2015,,,,,,,,,
206,21E Kings Park Avenue,"$1,050,000",Mar 2015,Apartment,3,2,2,LJ Hooker - Leeming,,,,
207,21E 16 Kings Park Avenue,"$1,050,000",Mar 2015,Apartment,3,2,2,LJ Hooker - Leeming,,,,
208,8/152 Broadway,"$420,000",Mar 2015,,,,,Optimus Real Estate - City Beach,$380pw,Dec 2020,973,87
209,1-24 COOK STREET,"$771,000",Mar 2015,Townhouse,3,2,2,TM Residential - Dalkeith,,,,
210,1 Cook Street,"$770,880",Mar 2015,Townhouse,3,2,2,TM Residential - Dalkeith,,,,
211,54/3 Park Avenue,"$1,685,000",Mar 2015,Apartment,3,2,3,Leasing Elite Pty Ltd - West Perth,,,"6,576",175
212,6/160 Broadway,"$600,000",Mar 2015,Apartment,2,1,1,Acton - Dalkeith,$425pw,Jul 2019,982,
213,1/24 Cook Street,"$770,880",Mar 2015,Townhouse,3,2,,TM Residential - Dalkeith,$550pw,Jan 2021,114,119
214,18/22-24 The Avenue,"$1,890,000",Mar 2015,Apartment,3,2,4,House Real Estate - Cottesloe,,,"4,524",161
215,18/22 The Avenue,"$1,890,000",Feb 2015,,,,,House Real Estate - Cottesloe,,,"4,524",161
216,2/153 Fairway,"$565,000",Feb 2015,,,,,,$360pw,Feb 2021,"1,140",57
217,4/1 Park Avenue,"$885,000",Feb 2015,House,3,2,2,Acton Fremantle - East Fremantle,$600pw,Sep 2010,"1,001",156
218,14E/16 Kings Park Avenue,"$1,225,000",Feb 2015,House,3,2,2,TM Residential - Dalkeith,,,"5,587",190
219,6/168 Broadway,"$400,000",Feb 2015,,,,,Acton - Dalkeith,,,"1,412",51
220,2/22 Caporn Street,"$395,000",Jan 2015,Apartment,1,1,1,Port City Real Estate - Fremantle,$360pw,Nov 2016,683,50
221,1/228 Hampden Road,"$718,000",Dec 2014,,,,,ABODE REAL ESTATE - COTTESLOE,$530pw,Jan 2021,481,107
222,2/24 Cook Street,"$770,000",Dec 2014,House,4,2,2,Abel McGrath Property Group - Claremont,$650pw,Jan 2008,116,114
223,5/3 Park Avenue,"$1,000,000",Dec 2014,House,3,2,2,Acton - Dalkeith,$850pw,Feb 2014,"6,576",175
224,4/70-72 Broadway,"$355,000",Nov 2014,,,,,Residential West,$330pw,May 2016,"1,765",45
225,4/70 Broadway,"$355,000",Nov 2014,,,,,Residential West,,,"1,765",45
226,8/16 Caporn Street,"$562,000",Nov 2014,Apartment,2,1,1,Rossen Real Estate - Nedlands,$550pw,May 2014,"2,049",73
227,34 Everett Street,"$1,600,000",Nov 2014,House,4,2,2,,,,683,197
228,2/17-23 The Avenue,"$380,000",Nov 2014,House,1,1,1,Acton - Dalkeith,$350pw,Nov 2019,"2,866",
229,4/16 Caporn Street,"$540,000",Nov 2014,Apartment,2,1,1,Rossen Real Estate - Nedlands,$380pw,Feb 2018,"2,049",73
230,3/17-23 The Avenue,"$365,000",Nov 2014,House,1,1,1,Acton - Dalkeith,$265pw,Jan 2020,,
231,4/116 Broadway,"$530,000",Oct 2014,House,2,1,1,Acton - Dalkeith,$400pw,Jan 2021,883,58
232,5E/14 Kings Park Avenue,"$1,075,000",Oct 2014,Apartment,3,2,2,Mack Hall Real Estate - Claremont,,,"5,587",190
233,12/70-72 Broadway,"$345,000",Oct 2014,,,,,Acton - Dalkeith,$330pw,Dec 2020,48,
234,6/8 Wingfield Avenue,"$730,000",Oct 2014,Apartment,3,2,2,Mack Hall Real Estate - Claremont,,,"2,533",145
235,6/9 The Avenue,"$795,000",Oct 2014,,,,,Acton - Dalkeith,,,"1,012",99
236,3/16 The Avenue,"$4,000,000",Oct 2014,Apartment,3,3,3,MLG Realty,,,275,275
237,27/17-23 The Avenue,"$375,000",Oct 2014,House,1,1,1,Acton - Dalkeith,$430pw,Nov 2015,"2,866",
238,27/17 The Avenue,"$375,000",Oct 2014,,,,,,$430pw,Nov 2014,"2,866",
239,12/70 Broadway,"$345,000",Sep 2014,,,,,Acton - Dalkeith,,,48,
